BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Rooftop;Electricité;53.62333238;17;162.3200247;2.672974884;0.14990375;0.0774
Commerce;Petit brico;PAC performant;Electricité;91.54985264;20;81.93726194;3.397956279;9.994E-05;0.0774
Sport Loisir Culture;Immeuble péri urbain;Electrique direct;Electricité;10;13;120.1538957;0.9;0.157208952;0.0774
Commerce;Petit brico;PAC;Electricité;73.23988211;20;81.93726194;3.243503721;0.174027707;0.0774
Commerce;Petit commerce de gros;Autre système centralisé performant;Autres;35.28910059;25;83.83713702;1.869336829;9.994E-05;0.015468227
Commerce;Petit commerce de gros;Autre système centralisé performant;Urbain;34.93868433;25;81.2049989;1.880658466;9.994E-05;0.0616
Commerce;Petit commerce de gros;Chaudière condensation fioul;Fioul;14.73593196;20;82.73587781;0.761583139;9.994E-05;0.074414716
Commerce;Petit commerce de gros;Chaudière condensation gaz;Gaz;10.94277036;20;83.04869933;0.989367103;9.994E-05;0.0513
Sport Loisir Culture;Petite salle de spectacle;Cassette rayonnante;Electricité;10;10;125.6384299;0.8;0.142822765;0.0774
Enseignement Recherche;Internat LEGT;Autre système centralisé;Autres;16.80543366;25;138.7821965;0.826439316;0.103029061;0.015468227
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;PAC;Electricité;112.1700663;20;193.5347688;2.831630233;0.128190094;0.0774
Commerce;Petit commerce de gros;Electrique direct performant;Electricité;12;13;84.12351127;1;9.994E-05;0.0774
Bureaux Administration;immeuble rénové;PAC;Electricité;45.31401743;20;113.074884;2.831630233;0.137985627;0.0774
Commerce;Petit commerce de gros;Rooftop performant;Electricité;40.09076605;17;82.80863229;3.328610233;9.994E-05;0.0774
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Rooftop;Electricité;30.0742924;17;90.13217023;2.701373023;0.145864526;0.0774
Sport Loisir Culture;Vestiaire et rangement;Cassette rayonnante;Electricité;10;10;88.84502938;0.8;0.139472233;0.0774
Commerce;Petit librairie;Autre système centralisé performant;Autres;41.04853066;25;79.99810517;1.866944376;9.994E-05;0.015468227
Commerce;Petit librairie;Autre système centralisé performant;Urbain;40.63425228;25;90.98496489;1.924617735;9.994E-05;0.0616
Commerce;Petit librairie;Chaudière condensation fioul;Fioul;30.88861538;20;85.19740748;0.749265957;9.994E-05;0.074414716
Commerce;Petit librairie;Chaudière condensation gaz;Gaz;30.88861538;20;93.30224842;0.979612559;9.994E-05;0.0513
Sport Loisir Culture;Petite salle multisport;Autre système centralisé;Autres;59.29281423;25;106.0527558;1.641099067;0.106554507;0.015468227
Commerce;Grand alimentaire;PAC;Electricité;74.89738691;20;80.54561241;3.210890233;0.157421538;0.0774
Commerce;Petit process;PAC;Electricité;79.31955167;20;106.9489808;3.243503721;0.175201038;0.0774
Commerce;Petit librairie;Electrique direct performant;Electricité;12;13;79.9906071;1;9.994E-05;0.0774
